action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1737431,[],CHEMBL866006,Inhibition of BACE,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@H](CC(C)C)NC(C)=O,,,CHEMBL1137429,J Med Chem,2006,"{'bei': '14.04', 'le': '0.27', 'lle': '4.78', 'sei': '5.48'}",,CHEMBL211384,,CHEMBL211384,7.00,0,http://www.openphacts.org/units/Nanomolar,499619,=,1,1,=,,IC50,nM,,100.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,0.1
,,1737441,[],CHEMBL866006,Inhibition of BACE,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(C)=O,,,CHEMBL1137429,J Med Chem,2006,"{'bei': '14.28', 'le': '0.28', 'lle': '5.04', 'sei': '5.07'}",,CHEMBL209795,,CHEMBL209795,6.92,0,http://www.openphacts.org/units/Nanomolar,499618,=,1,1,=,,IC50,nM,,120.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,0.12
,,1737451,[],CHEMBL866006,Inhibition of BACE,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CSC[C@H](N)C(=O)N[C@@H](C)C(=O)N1,,,CHEMBL1137429,J Med Chem,2006,,,CHEMBL209847,,CHEMBL209847,,0,http://www.openphacts.org/units/Nanomolar,499617,>,1,1,>,,IC50,nM,,10000.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,10.0
,,1737458,[],CHEMBL866006,Inhibition of BACE,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CSCCC(=O)N[C@@H](C)C(=O)N1,,,CHEMBL1137429,J Med Chem,2006,,,CHEMBL212321,,CHEMBL212321,,0,http://www.openphacts.org/units/Nanomolar,499616,>,1,1,>,,IC50,nM,,10000.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,10.0
,,1737466,[],CHEMBL866006,Inhibition of BACE,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C\CSCCC(=O)N[C@@H](C)C(=O)N1,,,CHEMBL1137429,J Med Chem,2006,,,CHEMBL211848,,CHEMBL211848,,0,http://www.openphacts.org/units/Nanomolar,499615,>,1,1,>,,IC50,nM,,10000.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,10.0
,,1737476,[],CHEMBL866006,Inhibition of BACE,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCCCSC[C@H](NC(C)=O)C(=O)N[C@@H](C)C(=O)N1,,,CHEMBL1137429,J Med Chem,2006,,,CHEMBL213830,,CHEMBL213830,,0,http://www.openphacts.org/units/Nanomolar,499613,>,1,1,>,,IC50,nM,,10000.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,10.0
,,1737492,[],CHEMBL866006,Inhibition of BACE,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCCSC[C@H](NC(C)=O)C(=O)N[C@@H](C)C(=O)N1,,,CHEMBL1137429,J Med Chem,2006,,,CHEMBL213858,,CHEMBL213858,,0,http://www.openphacts.org/units/Nanomolar,499612,>,1,1,>,,IC50,nM,,10000.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,10.0
,,1737575,[],CHEMBL866006,Inhibition of BACE,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCSC[C@H](NC(C)=O)C(=O)N[C@@H](C)C(=O)N1,,,CHEMBL1137429,J Med Chem,2006,,,CHEMBL211152,,CHEMBL211152,,0,http://www.openphacts.org/units/Nanomolar,499611,>,1,1,>,,IC50,nM,,10000.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,10.0
,,1737586,[],CHEMBL866006,Inhibition of BACE,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,,,CHEMBL1137429,J Med Chem,2006,"{'bei': '10.24', 'le': '0.21', 'lle': '3.68', 'sei': '4.04'}",,CHEMBL378897,,CHEMBL378897,5.89,0,http://www.openphacts.org/units/Nanomolar,499610,=,1,1,=,,IC50,nM,,1300.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,1.3
,,1737597,[],CHEMBL866006,Inhibition of BACE,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C\CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,,,CHEMBL1137429,J Med Chem,2006,"{'bei': '8.78', 'le': '0.18', 'lle': '2.84', 'sei': '3.46'}",,CHEMBL211499,,CHEMBL211499,5.05,0,http://www.openphacts.org/units/Nanomolar,499609,=,1,1,=,,IC50,nM,,9000.0,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,IC50,uM,UO_0000065,,9.0
