Model,MAE_log10,RMSE_log10,R2,MAE_nM,RMSE_nM
Random Forest,0.6572352570673694,0.9004748765414475,0.5656677458778094,15244.172351672047,41523.63334854615
Support Vector Regression,0.7103039559875044,0.934486994178678,0.5322374979161373,16892.235221108374,46235.663373208365
